date,price
2024-08-01,552.57
2024-08-02,535.75
2024-08-05,511.64
2024-08-06,519.22
2024-08-07,528.47
2024-08-08,523.91
2024-08-09,529.81
2024-08-12,534.21
2024-08-13,536.53
2024-08-14,542.85
2024-08-15,549.5
2024-08-16,551.42
2024-08-19,554.73
2024-08-20,559.15
2024-08-21,559.77
2024-08-22,562.56
2024-08-23,559.53
2024-08-26,563.18
2024-08-27,559.49
2024-08-28,561.21
2024-08-29,560.31
2024-08-30,560.77
2024-09-03,560.47
2024-09-04,550.2
2024-09-05,550.89
2024-09-06,549.94
2024-09-09,544.65
2024-09-10,548.36
2024-09-11,548.7
2024-09-12,555.01
2024-09-13,559.71
2024-09-16,561.74
2024-09-17,565.1
2024-09-18,563.74
2024-09-19,571.01
2024-09-20,567.84
2024-09-23,569.34
2024-09-24,570.48
2024-09-25,571.14
2024-09-26,574.38
2024-09-27,573.39
2024-09-30,570.42
2024-10-01,573.4
2024-10-02,567.71
2024-10-03,567.36
2024-10-04,572.35
2024-10-07,571.3
2024-10-08,570.42
2024-10-09,573.16
2024-10-10,575.77
2024-10-11,576.05
2024-10-14,581.22
2024-10-15,584.59
2024-10-16,579.78
2024-10-17,585.91
2024-10-18,584.07
2024-10-21,583.85
2024-10-22,581.05
2024-10-23,581.26
2024-10-24,579.98
2024-10-25,581.51
2024-10-28,582.58
2024-10-29,579.85
2024-10-30,581.29
2024-10-31,575.56
2024-11-01,571.32
2024-11-04,571.18
2024-11-05,570.74
2024-11-06,589.2
2024-11-07,593.08
2024-11-08,596.17
2024-11-11,599.81
2024-11-12,598.68
2024-11-13,597.37
2024-11-14,597.32
2024-11-15,589.72
2024-11-18,586.22
2024-11-19,584.71
2024-11-20,590.38
2024-11-21,593.4
2024-11-22,593.66
2024-11-25,599.52
2024-11-26,598.8
2024-11-27,600.46
2024-11-29,599.66
2024-12-02,602.97
2024-12-03,603.39
2024-12-04,605.63
2024-12-05,607.66
2024-12-06,607.44
2024-12-09,607.69
2024-12-10,605.37
2024-12-11,605.78
2024-12-12,606.58
2024-12-13,606.4
2024-12-16,606.0
2024-12-17,604.19
2024-12-18,603.98
2024-12-19,591.36
2024-12-20,581.77
2024-12-23,590.89
2024-12-24,596.06
2024-12-26,599.5
2024-12-27,597.54
2024-12-30,587.89
2024-12-31,589.91
2025-01-02,589.39
2025-01-03,587.53
2025-01-06,596.27
2025-01-07,597.42
2025-01-08,588.7
2025-01-10,585.88
2025-01-13,575.77
2025-01-14,584.36
2025-01-15,590.33
2025-01-16,594.18
2025-01-17,596.96
2025-01-21,600.67
2025-01-22,605.92
2025-01-23,605.8
2025-01-24,609.81
2025-01-27,594.81
2025-01-28,600.62
2025-01-29,603.72
2025-01-30,603.96
2025-01-31,607.5
2025-02-03,592.67
2025-02-04,597.83
2025-02-05,600.64
2025-02-06,605.99
2025-02-07,606.89
2025-02-10,604.03
2025-02-11,602.55
2025-02-12,599.2
2025-02-13,604.48
2025-02-14,609.94
2025-02-18,610.88
2025-02-19,610.08
2025-02-20,611.54
2025-02-21,610.16
2025-02-24,602.02
2025-02-25,597.15
2025-02-26,595.93
2025-02-27,596.85
2025-02-28,585.56
2025-03-03,596.18
2025-03-04,579.71
2025-03-05,576.69
2025-03-06,575.48
2025-03-07,570.9
2025-03-10,567.59
2025-03-11,559.4
2025-03-12,562.17
2025-03-13,558.49
2025-03-14,556.11
2025-03-17,562.79
2025-03-18,564.8
2025-03-19,562.83
2025-03-20,563.33
2025-03-21,559.28
2025-03-24,570.8
2025-03-25,575.3
2025-03-26,575.19
2025-03-27,567.18
2025-03-28,565.53
2025-03-31,549.83
2025-04-01,557.45
2025-04-02,555.05
2025-04-03,545.11
2025-04-04,523.67
2025-04-07,489.19
2025-04-08,521.86
2025-04-09,493.44
2025-04-10,532.17
2025-04-11,523.01
2025-04-14,544.05
2025-04-15,539.67
2025-04-16,531.68
2025-04-17,527.64
2025-04-21,521.16
2025-04-22,520.14
2025-04-23,540.43
2025-04-24,536.72
2025-04-25,546.65
2025-04-28,551.39
2025-04-29,548.91
2025-04-30,547.57
2025-05-01,560.37
2025-05-02,564.73
2025-05-05,562.57
2025-05-06,557.93
2025-05-07,560.15
2025-05-08,565.24
2025-05-09,566.48
2025-05-12,581.47
2025-05-13,583.41
2025-05-14,587.81
2025-05-15,585.56
2025-05-16,591.25
2025-05-19,588.1
2025-05-20,593.09
2025-05-21,588.44
2025-05-22,582.66
2025-05-23,575.98
2025-05-27,586.07
2025-05-28,591.56
2025-05-29,593.06
2025-05-30,588.93
2025-06-02,587.76
2025-06-03,592.34
2025-06-04,596.96
2025-06-05,597.63
2025-06-06,598.66
2025-06-09,599.72
2025-06-10,600.22
2025-06-11,604.19
2025-06-12,600.01
2025-06-13,598.5
2025-06-16,600.4
2025-06-17,600.21
2025-06-18,598.44
2025-06-20,598.38
2025-06-23,595.04
2025-06-24,604.33
2025-06-25,607.91
2025-06-26,608.99
2025-06-27,612.88
2025-06-30,617.38
2025-07-01,616.36
2025-07-02,617.24
2025-07-03,622.45
2025-07-07,623.36
2025-07-08,621.35
2025-07-09,622.77
2025-07-10,624.2
2025-07-11,622.74
2025-07-14,623.16
2025-07-15,627.52
2025-07-16,623.74
2025-07-17,624.4
2025-07-18,629.3
2025-07-21,628.77
2025-07-22,629.1
2025-07-23,631.55
2025-07-24,634.6
2025-07-25,635.09
2025-07-28,637.48
2025-07-29,638.35
2025-07-30,635.92
2025-07-31,639.46
2025-08-01,626.3
